aurc,coverage,family,method,num_cases,overall_risk,selective_risk,tau
0.09535209089517593,0.7777777777777778,id,uncertainty_only,180,0.06555607169866562,0.07238757610321045,8.304839866468683e-05
0.031785301864147186,0.8111111111111111,id,residual_only,180,0.06555607169866562,0.05063696578145027,0.012240851297974586
0.03167615830898285,0.8333333333333334,id,drift_only,180,0.06555607169866562,0.05232404172420502,0.04560335725545883
0.055902428925037384,0.7888888888888889,id,ood_only,180,0.06555607169866562,0.06036984920501709,0.00013811759708914906
0.031692031770944595,0.8444444444444444,id,joint,180,0.06555607169866562,0.053284939378499985,6.440747261047363
0.09506598114967346,0.7807971014492754,parameter_shift,uncertainty_only,552,0.06844507902860641,0.0765814408659935,8.304839866468683e-05
0.03701264038681984,0.8532608695652174,parameter_shift,residual_only,552,0.06844507902860641,0.05792693793773651,0.012240851297974586
0.036753177642822266,0.8061594202898551,parameter_shift,drift_only,552,0.06844507902860641,0.054194048047065735,0.04560335725545883
0.06257270276546478,0.7844202898550725,parameter_shift,ood_only,552,0.06844507902860641,0.06383059173822403,0.00013811759708914906
0.036796651780605316,0.8333333333333334,parameter_shift,joint,552,0.06844507902860641,0.05631965398788452,6.440747261047363
0.09957706928253174,0.7475961538461539,geometry_shift,uncertainty_only,416,0.06461607664823532,0.07482919842004776,8.304839866468683e-05
0.030376117676496506,0.7884615384615384,geometry_shift,residual_only,416,0.06461607664823532,0.046015284955501556,0.012240851297974586
0.03016902133822441,0.7764423076923077,geometry_shift,drift_only,416,0.06461607664823532,0.044866323471069336,0.04560335725545883
0.059983499348163605,0.7740384615384616,geometry_shift,ood_only,416,0.06461607664823532,0.060073401778936386,0.00013811759708914906
0.03026559203863144,0.7932692307692307,geometry_shift,joint,416,0.06461607664823532,0.04646569490432739,6.440747261047363
0.09535209089517593,0.7777777777777778,long_rollout,uncertainty_only,180,0.06555607169866562,0.07238757610321045,8.304839866468683e-05
0.031785301864147186,0.8111111111111111,long_rollout,residual_only,180,0.06555607169866562,0.05063696578145027,0.012240851297974586
0.03167615830898285,0.8333333333333334,long_rollout,drift_only,180,0.06555607169866562,0.05232404172420502,0.04560335725545883
0.055902428925037384,0.7888888888888889,long_rollout,ood_only,180,0.06555607169866562,0.06036984920501709,0.00013811759708914906
0.031692031770944595,0.8444444444444444,long_rollout,joint,180,0.06555607169866562,0.053284939378499985,6.440747261047363
